,geometry,cluster
R17C42,"POLYGON ((11.8075003565 45.085003219511954, 11.80000036 45.085003219511954, 11.80000036 45.08000325062116, 11.8075003565 45.08000325062116, 11.8075003565 45.085003219511954))",11
R17C46,"POLYGON ((11.8375003425 45.085003219511954, 11.830000346 45.085003219511954, 11.830000346 45.08000325062116, 11.8375003425 45.08000325062116, 11.8375003425 45.085003219511954))",11
R17C112,"POLYGON ((12.3325001115 45.085003219511954, 12.325000115 45.085003219511954, 12.325000115 45.08000325062116, 12.3325001115 45.08000325062116, 12.3325001115 45.085003219511954))",6
R17C113,"POLYGON ((12.340000108 45.085003219511954, 12.3325001115 45.085003219511954, 12.3325001115 45.08000325062116, 12.340000108 45.08000325062116, 12.340000108 45.085003219511954))",6
R17C114,"POLYGON ((12.3475001045 45.085003219511954, 12.340000108 45.085003219511954, 12.340000108 45.08000325062116, 12.3475001045 45.08000325062116, 12.3475001045 45.085003219511954))",6
R18C14,"POLYGON ((11.5975004545 45.09000318840275, 11.590000458 45.09000318840275, 11.590000458 45.085003219511954, 11.5975004545 45.085003219511954, 11.5975004545 45.09000318840275))",13
R18C15,"POLYGON ((11.605000451 45.09000318840275, 11.5975004545 45.09000318840275, 11.5975004545 45.085003219511954, 11.605000451 45.085003219511954, 11.605000451 45.09000318840275))",13
R18C16,"POLYGON ((11.6125004475 45.09000318840275, 11.605000451 45.09000318840275, 11.605000451 45.085003219511954, 11.6125004475 45.085003219511954, 11.6125004475 45.09000318840275))",13
R18C40,"POLYGON ((11.7925003635 45.09000318840275, 11.785000367 45.09000318840275, 11.785000367 45.085003219511954, 11.7925003635 45.085003219511954, 11.7925003635 45.09000318840275))",11
R18C42,"POLYGON ((11.8075003565 45.09000318840275, 11.80000036 45.09000318840275, 11.80000036 45.085003219511954, 11.8075003565 45.085003219511954, 11.8075003565 45.09000318840275))",11
